a_book_number,b_book_name,c_author,d_book_type,e_condition,f_book_link,g_update_info,h_up_time,i_intro
52,璀璨城13科的吉恩,背后有神助C,轻小说,连载,//book.qidian.com/info/1012891245,最新更新 第一千五百零九章 振翅.妮雅.赤色雷霆1（下）,2020-07-07 23:52,阳光下的罪恶，黑夜中的谜语，这是一个光怪陆离的赛博朋克世界........2276年璀璨城在未来都市人口爆炸，人类寿命延长，物资短缺，食品有毒，阶级固化，生育艰难，危机潜伏在城市的每一个角落，谜一般的13科，吉恩在纷繁复杂的势力中游走，缔造着城市的秩序.......读者群：946881864
53,红楼春,屋外风吹凉,历史,连载,//book.qidian.com/info/1018476807,最新更新 第三百一十九章 抄家,2020-07-08 08:00,隆安五年，二世为人的贾蔷为保清白身，从虎狼之巢宁国府夺命而逃，自此，一名万年工科单身狗，迎来了他在红楼世界的春天……
54,天启预报,风月,奇幻,连载,//book.qidian.com/info/1014180485,最新更新 第七百三十六章 选择,2020-07-07 22:39,“我想要挨一顿毒打……”——灾厄之剑、旧世界守墓人、调律师、最后的天国捍卫者、二十四个毁灭因素之一、淮海路小佩奇、深渊烈日、最终的地狱之王：槐诗。.某一天，穷困潦倒的槐诗忽然发现自己捡来的金手指终于能用了……只不过，这似乎并不是一件好事。为了赚钱和苟命，他一不小心踏入了这个危险世界。现境之外的边境，日常之后的异常。天文会，绿日、黄金黎明、存世余孽与诸界天敌……究竟是生存还是灭亡？这是个问题。那么，就在这一万零一种拯救世界的方法中，选一个通往HAPPYEND的方向吧。——————读者群：718703105(存续院一号实验室)，入群之后发粉丝值召唤管理，可进入V群。
55,大数据修仙,陈风笑,仙侠,连载,//book.qidian.com/info/1010737835,最新更新 第两千零九十二章 简单到记不起来,2020-07-07 20:52,冯君身为985的双学位，毕业就失业了，在都市中艰难打拼，偏偏还放不下架子，他的处境可想而知。直到有一天，他和手机被雷劈了，猛然发现，原来自己可以化身数据，进入app中。化身数据进入app中能做什么？能做的太多了，尽情想像吧……慢着，手机银行的存款？住手，那个不能乱改！当然，这并不仅仅是全部，然后他还发现，自己居然可以自由进入仙侠位面……让我们跟随冯君，踏上奇妙的修仙之旅，“落花时节又逢君”，这话可不是白说的……
56,我真的只是想打铁,静悄悄地写,体育,连载,//book.qidian.com/info/1018126660,最新更新 第两百八十五章 阴语达人，风气出了问题的NBA（5300字，求订阅月票）,2020-07-07 13:11,90年代，正当大卫-斯特恩一脸焦虑地站在大天朝电视台门外，看着自己手中的NBA录像带，寻思着怎么来打开潜力无穷的中国市场时，他万万没想到.......原来向上帝许愿，还真TM有用！“铁影”、“北方神”、“NBA篮框之笑容保护者”、“不是后仰从不投”、“一手跳投美如画”......当拥有以上绰号的苏枫横空出世，未来许多人的青春，在这一刻开始了！“啊呸！这帮黑粉到底有完没完！劳资的绰号明明是‘弑神者’！”看着报纸，苏枫愤愤不平地说道。弑是弑神的弑，者是弑神者的者，至于神？90年代的NBA，能有几位神？普通群群号：484028022VIP全订群：老书全订读者在普通群私聊管理
57,数风流人物,瑞根,历史,连载,//book.qidian.com/info/1017596768,最新更新 丁字卷 第六十一节 猛击一掌,2020-07-07 23:43,瑞根晚明+红楼半架空历史官场养成文，绝对够味！大周永隆二年。盛世隐忧。四王八公鲜花着锦，文臣武将烈火烹油。内有南北文武党争不休，外有九边海疆虏寇虎视。这是一个最好的时代，也是一个最坏的时代。关键在于你身处其中时，该如何把握。勇猛精进，志愿无倦，且看我如何定风流，挽天倾！历史官场养成文，兄弟们请多支持。瑞根铁杆书友群：581470234
58,汉阙,七月新番,历史,连载,//book.qidian.com/info/1016356172,最新更新 第533章 姑父,2020-07-07 23:48,蓦然回首千年，汉家宫阙依旧！时值汉昭帝元凤三年，朝中权臣当道，外有匈奴未灭，丝路不绝如缕……卫霍虽没，但汉家儿郎的开拓精神，却永不止息，新的英雄，正呼之欲出！敦煌戈壁，名为悬泉置的驿站里，微末小吏任弘投笔怒喝曰：“大丈夫无它志略，犹当效张骞、傅介子立功异域，以取封侯，安能久事笔砚间乎？”书友群：567351610.VIP群（弟子以上）：496717165.
59,玄浑道章,误道者,仙侠,连载,//book.qidian.com/info/1015358161,最新更新 第二十九章 百川入海来,2020-07-07 19:30,在这个神怪遍地的世界经历了第六个纪元之后，煌煌天夏降临了！…………玄浑道章书友群：【762873632】玄浑道章•造化之界：【526275426】玄浑道章VIP书友群：【615387042】…………
60,诸界末日在线,烟火成城,科幻,连载,//book.qidian.com/info/1010426071,最新更新 第二百七十五章 诡谲的战局,2020-07-07 17:40,诸界末日降临，魔王的秩序收割着众生性命，在这绝望的黑暗之中，有一人挣脱时空，回到世界崩毁之前，决心改变曾经的命运。但随着时间的推移，他渐渐发现末日并不是那么简单……（书友群：662816185；V群878261509，欢迎读友们加入~）
61,都市极品医神,风会笑,都市,连载,//book.qidian.com/info/1013475205,最新更新 第3630章 神秘战神？（八更！求月票！）,2020-07-07 22:56,【火爆爽文】五年前，废物叶辰犹如地上蠕虫般被人耻笑！但是五年后，他带着一百位上古大能回来了！吊打一切，谁与争锋！
62,圣墟,辰东,玄幻,连载,//book.qidian.com/info/1004608738,最新更新 第1563章 祖上姓叶,2020-07-05 22:59,在破败中崛起，在寂灭中复苏。沧海成尘，雷电枯竭，那一缕幽雾又一次临近大地，世间的枷锁被打开了，一个全新的世界就此揭开神秘的一角……
63,怪物被杀就会死,阴天神隐,轻小说,连载,//book.qidian.com/info/1016073648,最新更新 第十七章 天妖,2020-07-07 23:41,——异于常人者，即为怪物——天生就是超能者，所到之处百鬼退避，捏碎骨头就和捏碎奶油饼干一样没有区别。太过特殊，其实不是什么好事，为了在这看似平凡的世界中寻找同类，苏昼十年来一路奔波寻觅，却都一无所获……直到灵气复苏突然的到来，为他拉开了一个广袤浩瀚的时代大幕。期待改变，期待超凡，苏昼并不希望看着这个世界燃烧，但他渴望世界变得热闹起来。千里独行，诸界漫步。路见不平，拔刀相助。即便在这充斥着怪物，邪魔与无数妖魔鬼怪的世界中，在这濒临破碎，处于毁灭前夕的多元宇宙内，也无需退缩恐惧，无需迷茫困惑，仍要怀着一颗渴求正义，追求正确的心。毕竟，正如同那人尽皆知的废话，‘人被杀，就会死’一样。怪物被杀，也会死。普群：429408755，无要求===vip群：606962637，5000粉丝值标准===PS：已有460w字完本精品小说《燃钢之魂》，可收藏。
64,暗月纪元,仐三,科幻,连载,//book.qidian.com/info/1013926412,最新更新 第七百一十七章 脚底之泥,2020-07-07 18:29,辉煌前文明一夜颠覆，诡异的紫月升起时，新的紫月时代开启。该死，这是什么生态圈？进化如此紊乱，兔子都能咬人，植物也不好惹，要怎么混？进化为紫月战士？这和紫月能扯上什么关系？这是什么地图？安全区？悬空之域？黑暗之港？风暴航行？正京城？“恐怖摇篮曲”名单？地下种族复活，地下城兴盛？遍布世界的混乱黑市？血腥之路？最重要的是，做梦也会陷入厮杀，进入梦之域？好吧，这该死的时代。书友群：627900916，vip群：725382746
65,影视世界旅行家,昨夜大雨,科幻,连载,//book.qidian.com/info/1012797863,最新更新  第1728章：大凶之兆，血光之灾,2020-07-07 23:03,每部电影都是一段旅程，玛丽莲梦露的性感风情，海外孤岛的无限孤寂，奥黛丽赫本的倾情一吻，努力活着的苦难历程。带你进入电影世界，感受不一样的人生。如果你有特别想要经历的、想要得到的、想要改变的，可以给大雨下任务，因为这本书，也是你们的私人订制。完本作品《会穿越的外交官》，《位面之纨绔生涯》，作者完本保证。交流群：474-664-346
66,绝对一番,海底漫步者,都市,连载,//book.qidian.com/info/1016138848,最新更新 第四百一十五章 就等参加试播季看看成绩了,2020-07-07 19:31,“绝对一番”的意思是“永争一位，绝不服输”！穿越到日本泡沫经济刚刚崩溃，处在大萧条时期的陆之寿，看了看瘪瘪的钱包，下个月房租帐单以及穿越福利，转头就扎进了电视台，开始了他争夺“一番”的生活。而且，他还找到了他的意中人，为此制定计划，勾结同党，展开了锲而不舍的追求，只是结果……声明：本文发生于平行世界，纯属虚构，和现实中的人、物、事并无任何关系。交流群：173515690，欢迎加入讨论
67,天降我才必有用,石章鱼,都市,连载,//book.qidian.com/info/1012902516,最新更新 第七百零九章 牌风霸道,2020-07-07 18:57,不减肥就得死！一部被贬仙人在凡间的奋斗史！群号：832476624
68,三寸人间,耳根,仙侠,连载,//book.qidian.com/info/1010327039,最新更新 第1010章 独角戏！,2020-07-07 17:50,举头三尺无神明，掌心三寸是人间。这是耳根继《仙逆》《求魔》《我欲封天》《一念永恒》后，创作的第五部长篇小说《三寸人间》。
69,大国战隼,步枪,军事,连载,//book.qidian.com/info/1016298308,最新更新 第601章 妈妈做的饭菜永远是最好吃的,2020-07-07 20:50,【枪团出品】“我一脚油门就能到关岛你信不！”别人开飞机费油，李战开飞机费发动机！
70,学魔养成系统,给您添蘑菇啦,都市,连载,//book.qidian.com/info/1017406500,最新更新 292 得赶紧想办法恁,2020-07-08 06:55,【今天，你变得更博学了吗？】【根据您的脑负载，学习效率提升为28倍。】【今日剩余学习活力值，26小时。】【活力值耗尽后，将无法获得知识。】【请通过系统内置功能进行放松恢复。】活力有限，疲劳当头，学魔来不及多想——卷来！————————老群已炸，新群当苟——877827217
71,垂钓之神,会狼叫的猪,玄幻,连载,//book.qidian.com/info/1015546807,最新更新 第1255章 下探深渊,2020-07-07 16:59,这个星球被海洋覆盖。人类悬空而居，每当少年礼时，所有的孩子将进行垂钓测试，根骨奇佳者，有可能成为伟大的钓师。在无尽海域。每一种生命都被赋予神圣的使命，这里有飞天遁地之鱼，有受尽天地精华之龟，有口吞天地之鲸……还有无数垂钓之人。垂钓，是一门技术。这里流传着一句古话，如果你不是在垂钓，就是在去垂钓的路上。大群：589849852休闲群：633504307VIP：798083941
72,我不是真的想惹事啊,左断手,悬疑,连载,//book.qidian.com/info/1021271042,最新更新 第一百五十三章 态度转变，大强的光荣往事,2020-07-07 22:31,穷山恶水，阴森恐怖。妖魔潜藏，生人勿进。叮：前方三里，地下有尸，千年不化，撩它，你将得到铜头铁臂金刚身。听到提示音，柳金表示无奈。尸哥，我真的不想惹事，但我的系统就是这么贱，我也没办法啊。群号；581501849
73,永恒国度,孤独漂流,仙侠,连载,//book.qidian.com/info/1004086548,最新更新 第2135章 替死木偶,2020-07-07 23:17,凌晨，天灾降临。天道生变，万灵欲念执念充斥天地，天道不能承受，恶念横行，众生意念演变幻想世界，恶念，善念，执念，欲望纠缠不休，天道无法承受，已到极限，极则变，幻想降临，万界相融，万物霜天竞自由。此为新纪元开启，是毁灭，亦为新生。这一纪元为永恒纪元。
74,带着系统来大唐,农家一锅出,历史,连载,//book.qidian.com/info/1020244873,最新更新 第五百零四章 新式物品用来擦（第五更）,2020-07-07 20:52,大唐开元年，这是一个本应该带领华夏开始冲向巅峰的时期，可结局却是安史之乱。皇帝李隆基，大唐第二次玄武门之变的主角，开元年间，他带领大唐抵御住吐蕃、突厥、契丹所有外邦。可最后又因他而让大唐一蹶不振，是武惠妃的原因，还是杨贵妃的原因？不，有一个女人的生死才是关键。知道历史的李易来到了开元二年，他想看到一个繁荣的大唐，那么改变，就从灞水畔的一个庄子开始。开元盛世几流传，铁血边关将不还。沙场刀光心未灭，城池箭雨血难寒。男儿一怒天为暗，弱女千愁地有晗。流水潺潺说壮志，青山历历誓成峦。目前保证每天一万字以上更新，至于质量如何，看了即知。
75,超神宠兽店,古羲,玄幻,连载,//book.qidian.com/info/1016754466,最新更新 第五百二十六章 前往,2020-07-07 22:54,【万订爆款，火爆爽文】有一刀斩杀黄金巨龙的低等骷髅种有身怀十大宠兽秘技的看门土狗更有自称为神的打工妹……这是一个得到系统开店，在破碎远古培育宠兽的故事。当荣光覆灭，血脉逆流，昔日的存在将再度回归，一切都是毁灭！
76,梦回大明春,王梓钧,历史,连载,//book.qidian.com/info/1019189022,最新更新 246【临时任命】,2020-07-07 22:21,穿越到大明朝，考科举是黑户，想读书又没老师。好在隔壁就是流放王阳明的龙场驿，不过还得等几年，那就先抢一个老师回家凑合着学吧。
77,开局签到荒古圣体,J神,玄幻,连载,//book.qidian.com/info/1021378513,最新更新 第130章 龙吉公主出世，异象惊世，震动黑漠州！（五更）,2020-07-08 04:18,【不废柴，不舔狗，天骄争霸暴爽无敌流】君逍遥穿越玄幻世界，成为荒古世家神子，拥有无敌背景，惊世天赋，更得到签到系统，开局签到一具大成荒古圣体。在泰岳古碑签到，获得六星奖励，神象镇狱劲！在十岁宴上签到，获得七星奖励，至尊骨！在青铜仙殿签到，获得八星奖励，万物母气鼎！在无边界海签到，获得十星奖励，他化自在大法！无数年后，君逍遥盘坐九霄，剑指苍天道：“九天十地，我主沉浮，仙路尽头，我为巅峰！”
78,明尊,辰一十一,仙侠,连载,//book.qidian.com/info/1017325449,最新更新 第六十九章秋风起，鲈鱼堪脍,2020-07-08 05:40,大哉乾元，万物资始，乃以统天。无上明尊，时乘六龙，所其无逸。———————————————————这是一个土著主角的穿越者老爷爷苏醒，金手指成精了的故事。
79,大道朝天,猫腻,玄幻,连载,//book.qidian.com/info/1010496369,最新更新 第十五章吾爱吾师,2020-07-07 20:00,做了人类想成仙，生在地上要上天——鲁迅。（大道朝天官方一群，群号码：311875513，大道朝天官方二群，群号码：220593959，VIP读者全订阅群，群号码：670061923。欢迎加入）
80,生活系游戏,吨吨吨吨吨,都市,连载,//book.qidian.com/info/1012710206,最新更新 第七百五十三章 对手,2020-07-07 21:31,【一份卖相不好的宫保鸡丁】从江枫无意中发现自己居然可以看到自家老爹炒出来的菜的备注开始，他的人生就已经发生了翻天覆地的变化……1.本游戏自由度极高，请玩家自行探索.2.本游戏不会干预玩家的任何选择，请玩家努力解锁成就.3.一切解释归游戏所有.普群一群：781556033V群：720368320（全订即可）
81,柯南之我不是蛇精病,烟火酒颂,轻小说,连载,//book.qidian.com/info/1017470457,最新更新 第350章 白马探：我开车，你尽管放心！,2020-07-07 19:37,穿越名侦探柯南的世界，池非迟被送进了医院。周二。医生：“明天周几？”池非迟：“周三。”医生：“咳，明天周五。”池非迟：“……”8月21日。医生：“明天几月几日？”池非迟：“8月22日。”医生：“咳，明天1月1日。”池非迟：“……”当所有人都认为混乱的时间是正确的，而其中一人无法正确辩识并融入其中，那这个人就是异类，就是病人！一入病院深似海，此生痊愈不可能。池非迟深吸一口气：“老！子！不！干！了！”读者群：756660924vip群：443075892
82,信息全知者,魔性沧月,都市,连载,//book.qidian.com/info/1019222135,最新更新 第两百四十三章 神秘博士,2020-07-07 23:41,所见能知道一切已发生之事，所闻能看穿世人诡谲人心，所感能知晓他人隐藏在记忆深处的秘密。知道的越多，越不幸福，仰望星空，黄极感受着来自整个宇宙的恶意，以及人类的绝境。仅仅只是地球乡村小农民的他，不得不感慨：“我知道的太多了。”无论是科技还是神话，亦或者宇宙隐藏的bug……皆逃不过信息的感知。面对人类被高等文明圈养而不自知的无解困局，黄极只能跟外星人比一比，谁知道的更多了！
83,禁区之狐,林海听涛,体育,连载,//book.qidian.com/info/1017653178,最新更新 第十一章 机会来了,2020-07-08 08:00,“胡莱先生，当今足坛像您这样只会进球的前锋生存空间越来越狭窄……但尽管如此，您还是取得了耀眼的成就，请问您的成功秘诀是什么呢？”在一个冬日的午后，胡莱向来自全世界的记者们展示他刚刚获得的至高荣誉，有记者向他提出了这样的问题。面对记者们投来的目光，胡莱的思绪却回到了中学时的那个下午，他孤独的站在球场旁边看其他同学踢比赛，他们不让他上场，觉得他是来捣乱的。他还想到了教练板着脸对他说的话：“胡莱，如果你不能付出十倍于别人的努力，你的天赋就只是毫无价值的石头而已。”以及一个不屑的声音：“现代足球对中锋的要求越来越高，越来越全面，你只会射门有什么用呢？”最后他的思绪定格于那时，夜幕已在东方的天空中若隐若现，在周边长满了荒草的废弃空地中央，有个女孩子很认真地对他说：“胡莱，你其实是有天赋的，而且是很厉害的天赋！因为你知道球门在哪里！”胡莱盯着女孩子的眼睛，从那双眼眸中看到了身后的夕阳。阳光映在瞳孔中，流动着，燃烧着，凝成一道光环，仿佛要把自己也融化在这光芒中一样。收回思绪的胡莱重新回到了这个暖和的冬日午后，面对兴致勃勃的记者们，他微微一笑：“因为我知道，球门就在那里。”
84,饲养全人类,三百斤的微笑,都市,连载,//book.qidian.com/info/1015276074,最新更新 第1127章 看一眼，朕便学会了,2020-07-07 22:34,部落农耕时代，世界是庞大未知的。随着不断的探索，古人惊骇的发现，这个世界，天圆地方，有各种神迹降临，甚至有身高万丈的超大型巨人，智慧巨兽的身影神秘出现，踩踏山川、破碎大地。数百年后，在这样险恶的环境下，人们与巨兽搏斗，终于建立徇烂的苏美尔文明。这一日，智慧巨人忽然彻底降临，踩踏整片山村河流，亡国灭种。天地崩坏，城池倒塌，神祗降临，降罪众生？“不好意思，你们只是生活在我家大院果园的蚂蚁，地面到处都是，不小心路过的时候，把你们踩死了而已。”自家院子里的沙盘种田流，放牧沙盘里的人族与各个世界。书友群：329670003
85,我的人生模拟器,凿砚,都市,连载,//book.qidian.com/info/1016233785,最新更新 第二百九十五章 我的本事，一般人学不了,2020-07-08 08:01,人生只有一次，但是……人生模拟器，能够让你体验千姿百态的不同人生。
86,众神世界,永恒之火,玄幻,连载,//book.qidian.com/info/1015123563,最新更新 第487章 有阿姨了,2020-07-07 12:08,世界中心的奥林波斯山上，众神之王宙斯紧握雷霆之矛，笑看诸界。他的面前，众神如林。北方的白银之厅，至高王座上的奥丁手持天界之枪，俯视世间。他的眼中，无尽风雪。南方的尼罗河畔，掌舵太阳船的阿蒙，目光落在爱琴海上。他的脚下，枯骨如山。两河之地，万王之王马尔杜克，西望天下。他的英雄王吉尔伽美什背负神谕远征希腊，战船如海。柏拉图学院中，一个叫苏业的年轻人，步上群山，登临绝巅。
87,突然成仙了怎么办,欢颜笑语,都市,连载,//book.qidian.com/info/1021226784,最新更新 第154章 因为早晚会出事,2020-07-08 00:05,这天，林凡和圣女互相魂穿，之后更是发现，他们可以无限互穿。然后，两人在不同时空，用自己和对方的身体，杠上了。直到某日，林凡穿越归来，却发现自己已经成仙！突然成仙了怎么办？在线等，挺急的。（PS：又名，《摊牌了，我有代练》、《我家圣女科学修仙》等，请大家放心收藏）
88,万千之心,滚开,玄幻,连载,//book.qidian.com/info/1017385979,最新更新 396 洪流 2,2020-07-07 16:59,讲述一个普通人，意外得到一个能随机获得各种身份背景的系统的故事。每周获得一个随机合成的身份。杀手，催眠师，法师，武道家，古代种族，神秘组织成员，庞大跨国集团幕后董事等等……随机的身份，奇妙的旅程。（另附普q群331453690。全订群231786531，大家感兴趣的可以进去看看。）
89,老祖出棺,李四羊,轻小说,连载,//book.qidian.com/info/1018190058,最新更新 第六十六章 差距！,2020-07-07 17:18,夏翼穿越到圣魂大陆，发现这里有飞天遁地的修士，有类似游戏技能、武功招数的神奇圣魂，有寿元数百堪称陆地神仙的修士！一次沉睡，梦中度过八百年，夏翼苏醒时发现圣魂大陆又多了一种神奇的物种——玩家！夏翼这才知道，他不是穿越者，而是一名提前887年来到圣魂大陆的——初代玩家！PS：四羊新书，人品保证，已有万订火影之活久见，精品忍界修正带，非精品重启世界三本百万字完本书，无不良记录，放心收藏
90,妖魔哪里走,全金属弹壳,仙侠,连载,//book.qidian.com/info/1019561325,最新更新 236.朝廷命官，不设私刑（请支持正版）,2020-07-07 11:53,人道式微，诡道猖獗。百鬼夜行，苍生太苦。我王七麟愿以一柄斩鬼刀，于妖魔环伺之中为我人族杀出一条阳关大道！QQ群号：272351965，大家有喜欢聊天水群的，一起来。
91,芝加哥1990,齐可休,轻小说,连载,//book.qidian.com/info/1013677094,最新更新 第九百八十五章 邻家女孩,2020-07-07 23:51,穿越、90年代、芝加哥、美娱、作曲、编剧、制片、传媒集团
92,我真的只是村长,葫芦村人,都市,连载,//book.qidian.com/info/1020653378,最新更新 413 刘支书的租车生意（求订阅！求月票！）,2020-07-08 06:05,刘春来。一个21世纪的亿万富翁，刚创业成功还没来得及享受，被老天丢到了改革开放初期一个贫困得十年没有新媳妇儿嫁进来的西南山村。为了妹妹不被愚昧扼杀上大学的梦想，只想当个队长，结果，在不知道内情的情况下，当着一帮人赌咒发誓吹牛逼，要帮队里光棍脱光……然后，被一帮子成了精的达康书记们算计，不知不觉，村子成了全县第一，全市第一，全省第一，全国第一的村子。而这个全国最富裕的村子，村民们居然开着路虎耕田，开着奔驰送鸡蛋，开着宝马收粮食。最过分的是，一个穿着洗得发白旧军装的老头，开着一辆坦克在村口收门票，一角钱一张，少一分不行，多一分不要，得自备零钱，不接受转账，领导来了同样也得给钱……真实版本：这其实就是一个光棍带着一帮光棍讨婆娘的故事。吹牛版本：不要喊我老板，不要喊我刘董事长，也不要叫我刘首富……请叫我刘大队长，哦，刘大队长是我爹，那就叫我小刘大队长吧，啥？我都几十岁了？没看到我爹还在么……刘春来看到老头手中的那铜烟竿，松了口气。
93,直播之狩猎荒野,土土士,都市,连载,//book.qidian.com/info/1020816023,最新更新 第一百五十七章 破纪录！（600月票+1！）,2020-07-07 23:28,北美深海钓鱼王大赛；帕米尔山巅追逐雪豹；澳洲山火杀巨型蝙蝠；加拿大暴雪械搏棕熊！我是王奎，一名户外荒野主播，职业猎人，而我的开局，仅仅只有一个人，一把刀，和一条……犯过命案的狼狗！已完本万订精品《直播之荒野挑战》，书荒可看。狩猎群：642684620
94,这个修士很危险,想见江南,仙侠,连载,//book.qidian.com/info/3577214,最新更新 五百九十八章 强硬,2020-07-08 08:00,我从凡间来，到此觅长生。***********我从凡间来普通群：546435549vip书友群：556919537（需全订验证）
95,问道红尘,姬叉,仙侠,连载,//book.qidian.com/info/1014243481,最新更新 第一一五二章 碎梦,2020-07-07 19:27,秦弈曾认为，修仙的人首要淡泊宁静，无欲无求，耐得住性子，经得住诱惑。可最终发现，仙首先有个人字旁。仙路苦寒，你我相拥取暖。——————PS：本书原名《仙子请自重》。PS2：普1群722908813（满），普2群927524330（满），普3群379370167（空）回答简单问题即可。V群请进普群后找管理验证，致谢。
96,重生南非当警察,鲇鱼头,历史,连载,//book.qidian.com/info/1014227902,最新更新 963 创始人,2020-07-08 07:28,重生南非，罗克说：我希望世界和平——Q群519679829，欢迎兄弟们尬聊——
97,天下第九,鹅是老五,仙侠,连载,//book.qidian.com/info/1011831961,最新更新 第一三一三章 谁杀我寒月族人,2020-07-07 20:51,无尽宇宙之中有八道鸿蒙道则，这八道道则每一道都被一个无上强者融合。没有人知道，宇宙之中还有第九道道则，这一道道则破开鸿蒙，无人可触。
98,赘婿,愤怒的香蕉,历史,连载,//book.qidian.com/info/1979049,最新更新 第一〇一九章 振兴二年 夏季（下）,2020-06-11 18:34,武朝末年，岁月峥嵘，天下纷乱，金辽相抗，局势动荡，百年屈辱，终于望见结束的第一缕曙光，天祚帝、完颜阿骨打、吴乞买，成吉思汗铁木真、札木合、赤老温、木华黎、博尔忽、博尔术、秦桧、岳飞、李纲、种师道、唐恪、吴敏、耿南仲、张邦昌，忠臣与奸臣的较量，英雄与枭雄的博弈，胡虏南下，百万铁骑叩雁门，江山沦陷，生灵涂炭，一个国家与民族百年的屈辱与抗争，先行者的哭泣、呐喊与悲怆……而在这之前一点点，江宁城中，暗流涌动，一个商贾家毫不起眼的小小赘婿，正在很没责任感地过着他那只想吃东西、看表演的悠闲人生……
99,我不想当老大,超级麦克风,体育,连载,//book.qidian.com/info/1015227060,最新更新 1744.最疯狂的赛季（第5更求订阅求月票）,2020-07-07 23:41,我不想当老大，我也想要低调但没办法，实力他不允许啊！……一个在2009年开始的篮球故事……读者群:747103528
100,万道龙皇,牧童听竹,玄幻,连载,//book.qidian.com/info/1009454017,最新更新 第4553章 虚空巨兽,2020-07-07 17:58,〔暴爽玄幻，最热爽文〕少年陆鸣，血脉被夺，沦为废人，受尽屈辱。幸得至尊神殿，重生无上血脉，从此脚踏天才，一路逆袭，踏上热血辉煌之路。噬无尽生灵，融诸天血脉，跨千山万水，闯九天十地，败尽天下英豪，修战龙真诀，成就万道龙皇。精品群号：570274770（需要验证粉丝值）Vip群598630364（付费群）普通交流群：1039264198
